d,n1,n2,p_l
3,0,0,0.000541034
3,0,1,0.000669558
3,0,2,0.000809841
3,0,3,0.000974832
3,0,4,0.001136937
3,0,5,0.001321214
3,0,6,0.001494683
3,0,7,0.001687589
3,0,8,0.001903293
3,0,9,0.002132981
3,0,10,0.002375503
3,0,11,0.00262523
3,0,12,0.002894813
3,0,13,0.00317528
3,0,14,0.003491539
3,0,15,0.003797205
5,0,0,4.4635e-05
5,0,1,6.1461e-05
5,0,2,8.203e-05
5,0,3,0.000107642
5,0,4,0.000137411
5,0,5,0.00017375
5,0,6,0.000213037
5,0,7,0.000261705
5,0,8,0.000313334
5,0,9,0.000375406
5,0,10,0.00044013
5,0,11,0.000513443
5,0,12,0.000596947
5,0,13,0.000686138
5,0,14,0.000780192
5,0,15,0.000886429
7,0,0,3.065e-06
7,0,1,4.72e-06
7,0,2,7.309e-06
7,0,3,1.0506e-05
7,0,4,1.5083e-05
7,0,5,2.056e-05
7,0,6,2.7986e-05
7,0,7,3.6757e-05
7,0,8,4.7118e-05
7,0,9,5.9615e-05
7,0,10,7.5088e-05
7,0,11,9.2763e-05
7,0,12,0.000113697
7,0,13,0.000137843
7,0,14,0.00016487
7,0,15,0.000195609
9,0,0,1.86e-07
9,0,1,3.24e-07
9,0,2,5.93e-07
9,0,3,1.043e-06
9,0,4,1.569e-06
9,0,5,2.273e-06
9,0,6,3.446e-06
9,0,7,5.031e-06
9,0,8,6.738e-06
9,0,9,9.319e-06
9,0,10,1.2338e-05
9,0,11,1.6286e-05
9,0,12,2.0968e-05
9,0,13,2.6828e-05
9,0,14,3.3648e-05
9,0,15,4.1784e-05
11,0,0,7e-09
11,0,1,2.1e-08
11,0,2,5.6e-08
11,0,3,8.4e-08
11,0,4,1.36e-07
11,0,5,2.33e-07
11,0,6,4.18e-07
11,0,7,6.82e-07
11,0,8,9.57e-07
11,0,9,1.397e-06
11,0,10,2.048e-06
11,0,11,2.861e-06
11,0,12,3.768e-06
11,0,13,5.159e-06
11,0,14,6.724e-06
11,0,15,8.611e-06
13,0,0,1e-09
13,0,1,0.0
13,0,2,7e-09
13,0,3,7e-09
13,0,4,1.7e-08
13,0,5,2.7e-08
13,0,6,5.2e-08
13,0,7,7.7e-08
13,0,8,1.42e-07
13,0,9,2e-07
13,0,10,3.71e-07
13,0,11,4.86e-07
13,0,12,6.14e-07
13,0,13,9.53e-07
13,0,14,1.347e-06
13,0,15,1.803e-06
3,1,0,0.000548693
3,1,1,0.000683879
3,1,2,0.000814059
3,1,3,0.000969604
3,1,4,0.001139813
3,1,5,0.001323949
3,1,6,0.001508589
3,1,7,0.001718389
3,1,8,0.001933691
3,1,9,0.002166671
3,1,10,0.002411695
3,1,11,0.002668666
3,1,12,0.002940598
3,1,13,0.003221476
3,1,14,0.003510626
3,1,15,0.003816708
5,1,0,4.8603e-05
5,1,1,6.5764e-05
5,1,2,8.8405e-05
5,1,3,0.000115108
5,1,4,0.000147699
5,1,5,0.000185927
5,1,6,0.000228889
5,1,7,0.000278664
5,1,8,0.000334447
5,1,9,0.000397827
5,1,10,0.000469405
5,1,11,0.000546888
5,1,12,0.000632683
5,1,13,0.000725571
5,1,14,0.000824353
5,1,15,0.000935247
7,1,0,3.459e-06
7,1,1,5.324e-06
7,1,2,8.179e-06
7,1,3,1.2006e-05
7,1,4,1.6788e-05
7,1,5,2.3027e-05
7,1,6,3.1364e-05
7,1,7,4.0522e-05
7,1,8,5.241e-05
7,1,9,6.6734e-05
7,1,10,8.3057e-05
7,1,11,0.000102649
7,1,12,0.000125127
7,1,13,0.000150596
7,1,14,0.000180214
7,1,15,0.000212814
9,1,0,2.21e-07
9,1,1,4.12e-07
9,1,2,6.9e-07
9,1,3,1.124e-06
9,1,4,1.859e-06
9,1,5,2.744e-06
9,1,6,4.013e-06
9,1,7,5.624e-06
9,1,8,7.87e-06
9,1,9,1.0741e-05
9,1,10,1.4281e-05
9,1,11,1.831e-05
9,1,12,2.3807e-05
9,1,13,3.0259e-05
9,1,14,3.7964e-05
9,1,15,4.7469e-05
11,1,0,9e-09
11,1,1,2.1e-08
11,1,2,6.5e-08
11,1,3,1.04e-07
11,1,4,1.96e-07
11,1,5,3.52e-07
11,1,6,4.87e-07
11,1,7,7.6e-07
11,1,8,1.075e-06
11,1,9,1.674e-06
11,1,10,2.305e-06
11,1,11,3.257e-06
11,1,12,4.525e-06
11,1,13,6.075e-06
11,1,14,7.944e-06
11,1,15,1.0103e-05
13,1,0,1e-09
13,1,1,1e-09
13,1,2,3e-09
13,1,3,5e-09
13,1,4,2.2e-08
13,1,5,4e-08
13,1,6,5.6e-08
13,1,7,9.4e-08
13,1,8,1.34e-07
13,1,9,2.28e-07
13,1,10,3.83e-07
13,1,11,5.66e-07
13,1,12,7.99e-07
13,1,13,1.125e-06
13,1,14,1.578e-06
13,1,15,2.134e-06
3,2,0,0.000558673
3,2,1,0.000689952
3,2,2,0.000815851
3,2,3,0.000967227
3,2,4,0.001142285
3,2,5,0.001341952
3,2,6,0.001529068
3,2,7,0.001734825
3,2,8,0.00195821
3,2,9,0.002195658
3,2,10,0.002446509
3,2,11,0.002705274
3,2,12,0.002976185
3,2,13,0.003258973
3,2,14,0.003554752
3,2,15,0.00385946
5,2,0,5.1005e-05
5,2,1,7.0603e-05
5,2,2,9.4167e-05
5,2,3,0.000121962
5,2,4,0.00015755
5,2,5,0.000197264
5,2,6,0.000243861
5,2,7,0.000296574
5,2,8,0.000354883
5,2,9,0.000422309
5,2,10,0.000497498
5,2,11,0.000578263
5,2,12,0.00066968
5,2,13,0.000766623
5,2,14,0.000870232
5,2,15,0.000983675
7,2,0,3.781e-06
7,2,1,5.941e-06
7,2,2,9.127e-06
7,2,3,1.3117e-05
7,2,4,1.8587e-05
7,2,5,2.5527e-05
7,2,6,3.4319e-05
7,2,7,4.4856e-05
7,2,8,5.8164e-05
7,2,9,7.3018e-05
7,2,10,9.1197e-05
7,2,11,0.000112621
7,2,12,0.000137172
7,2,13,0.000163948
7,2,14,0.000196118
7,2,15,0.000232155
9,2,0,2.53e-07
9,2,1,4.21e-07
9,2,2,7.73e-07
9,2,3,1.305e-06
9,2,4,2.098e-06
9,2,5,3.177e-06
9,2,6,4.545e-06
9,2,7,6.439e-06
9,2,8,9.064e-06
9,2,9,1.2184e-05
9,2,10,1.6026e-05
9,2,11,2.0846e-05
9,2,12,2.6745e-05
9,2,13,3.4005e-05
9,2,14,4.2865e-05
9,2,15,5.2817e-05
11,2,0,1.6e-08
11,2,1,3.7e-08
11,2,2,7.1e-08
11,2,3,1.19e-07
11,2,4,2.38e-07
11,2,5,3.79e-07
11,2,6,5.78e-07
11,2,7,8.9e-07
11,2,8,1.383e-06
11,2,9,1.942e-06
11,2,10,2.835e-06
11,2,11,3.828e-06
11,2,12,5.128e-06
11,2,13,6.965e-06
11,2,14,9.128e-06
11,2,15,1.1781e-05
13,2,0,1e-09
13,2,1,1e-09
13,2,2,6e-09
13,2,3,1.5e-08
13,2,4,1.7e-08
13,2,5,3.8e-08
13,2,6,7.4e-08
13,2,7,1.2e-07
13,2,8,1.7e-07
13,2,9,3.03e-07
13,2,10,4.29e-07
13,2,11,6.29e-07
13,2,12,9.43e-07
13,2,13,1.409e-06
13,2,14,1.877e-06
13,2,15,2.499e-06
3,3,0,0.000566288
3,3,1,0.000681972
3,3,2,0.000823268
3,3,3,0.000974144
3,3,4,0.00114087
3,3,5,0.0013365
3,3,6,0.001523471
3,3,7,0.001760432
3,3,8,0.001982264
3,3,9,0.002220115
3,3,10,0.002468594
3,3,11,0.002733932
3,3,12,0.003007922
3,3,13,0.003296063
3,3,14,0.003596564
3,3,15,0.003906619
5,3,0,5.3825e-05
5,3,1,7.4709e-05
5,3,2,0.000100041
5,3,3,0.000130207
5,3,4,0.00016626
5,3,5,0.000208504
5,3,6,0.000258327
5,3,7,0.000313715
5,3,8,0.000374955
5,3,9,0.000446326
5,3,10,0.000524338
5,3,11,0.000610605
5,3,12,0.000704724
5,3,13,0.000804855
5,3,14,0.000912668
5,3,15,0.001031276
7,3,0,4.199e-06
7,3,1,6.682e-06
7,3,2,9.989e-06
7,3,3,1.4633e-05
7,3,4,2.0333e-05
7,3,5,2.8171e-05
7,3,6,3.7923e-05
7,3,7,4.9383e-05
7,3,8,6.2981e-05
7,3,9,8.0068e-05
7,3,10,9.9345e-05
7,3,11,0.00012205
7,3,12,0.000147584
7,3,13,0.000178221
7,3,14,0.000211828
7,3,15,0.000248998
9,3,0,2.96e-07
9,3,1,5.05e-07
9,3,2,9.04e-07
9,3,3,1.514e-06
9,3,4,2.45e-06
9,3,5,3.58e-06
9,3,6,5.215e-06
9,3,7,7.294e-06
9,3,8,1.0031e-05
9,3,9,1.3606e-05
9,3,10,1.7954e-05
