d,n,p_l
3,0,0.000151836
3,1,0.000221261
3,2,0.000306232
3,3,0.000396089
3,4,0.000506355
3,5,0.0006329
3,6,0.000771059
3,7,0.000926546
3,8,0.001090831
3,9,0.001272598
3,10,0.001471374
3,11,0.001678103
3,12,0.001899698
3,13,0.002135463
3,14,0.002385899
3,15,0.002648231
5,0,8.353e-06
5,1,1.3941e-05
5,2,2.2147e-05
5,3,3.2948e-05
5,4,4.6965e-05
5,5,6.4451e-05
5,6,8.6753e-05
5,7,0.000112606
5,8,0.000144624
5,9,0.000180016
5,10,0.00022094
5,11,0.000269471
5,12,0.000324698
5,13,0.000384839
5,14,0.000451706
5,15,0.000527713
7,0,4.35e-07
7,1,7.9e-07
7,2,1.394e-06
7,3,2.512e-06
7,4,3.941e-06
7,5,6.106e-06
7,6,9.016e-06
7,7,1.291e-05
7,8,1.781e-05
7,9,2.4204e-05
7,10,3.1804e-05
7,11,4.1201e-05
7,12,5.2956e-05
7,13,6.5725e-05
7,14,8.2162e-05
7,15,0.000100734
9,0,1.8e-08
9,1,4.1e-08
9,2,9.2e-08
9,3,2.01e-07
9,4,2.94e-07
9,5,5.17e-07
9,6,9.01e-07
9,7,1.424e-06
9,8,2.078e-06
9,9,3.056e-06
9,10,4.52e-06
9,11,6.047e-06
9,12,8.252e-06
9,13,1.1054e-05
9,14,1.4574e-05
9,15,1.8536e-05
11,0,1e-09
11,1,2e-09
11,2,1e-08
11,3,6e-09
11,4,2.1e-08
11,5,5.1e-08
11,6,7.4e-08
11,7,1.48e-07
11,8,2.47e-07
11,9,3.77e-07
11,10,6.52e-07
11,11,8.41e-07
11,12,1.286e-06
11,13,1.813e-06
11,14,2.537e-06
11,15,3.358e-06
13,0,0.0
13,1,2e-09
13,2,1e-09
13,3,0.0
13,4,2e-09
13,5,0.0
13,6,8e-09
13,7,1.1e-08
13,8,2.3e-08
13,9,5.1e-08
13,10,6.7e-08
13,11,1.3e-07
13,12,1.83e-07
13,13,2.79e-07
13,14,4.24e-07
13,15,6.29e-07
