Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L1,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L4,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L5,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L10,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L11,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L16,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L17,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L22,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L23,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L26,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L27,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L29,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L32,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L33,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L35,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L38,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L39,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L42,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L43,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L46,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L47,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L49,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L52,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L53,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L58,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L59,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L64,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L65,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L70,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L71,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L74,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L75,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L77,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L80,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L81,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L86,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L87,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L92,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L93,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L98,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L99,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L102,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L103,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L105,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L108,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L109,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
