rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(0.5), np.float64(0.5))",0.5,0.5,0.5,2.4,1.38,3.31
"(np.float64(0.5), np.float64(0.5), np.float64(0.6))",0.5,0.5,0.6,2.4,1.42,3.4099999999999997
"(np.float64(0.5), np.float64(0.5), np.float64(0.7))",0.5,0.5,0.7,2.4,1.45,3.48
"(np.float64(0.5), np.float64(0.5), np.float64(0.8))",0.5,0.5,0.8,2.4,1.49,3.58
"(np.float64(0.5), np.float64(0.5), np.float64(0.9))",0.5,0.5,0.9,2.4,1.52,3.65
"(np.float64(0.5), np.float64(0.5), np.float64(1.0))",0.5,0.5,1.0,2.4,1.56,3.74
"(np.float64(0.5), np.float64(0.5), np.float64(1.1))",0.5,0.5,1.1,2.4,1.6,3.8400000000000003
"(np.float64(0.5), np.float64(0.5), np.float64(1.2))",0.5,0.5,1.2,2.4,1.63,3.91
"(np.float64(0.5), np.float64(0.5), np.float64(1.3))",0.5,0.5,1.3,2.4,1.67,4.01
"(np.float64(0.5), np.float64(0.5), np.float64(1.4))",0.5,0.5,1.4,2.4,1.7,4.08
"(np.float64(0.5), np.float64(0.5), np.float64(1.5))",0.5,0.5,1.5,2.4,1.74,4.18
"(np.float64(0.5), np.float64(0.5), np.float64(1.6))",0.5,0.5,1.6,2.4,1.74,4.18
"(np.float64(0.5), np.float64(0.5), np.float64(1.7))",0.5,0.5,1.7,2.4,1.77,4.249999999999999
"(np.float64(0.5), np.float64(0.5), np.float64(1.8))",0.5,0.5,1.8,2.4,1.81,4.34
"(np.float64(0.5), np.float64(0.5), np.float64(1.9))",0.5,0.5,1.9,2.4,1.85,4.44
"(np.float64(0.5), np.float64(0.5), np.float64(2.0))",0.5,0.5,2.0,2.4,1.88,4.510000000000001
"(np.float64(0.5), np.float64(0.6), np.float64(0.5))",0.5,0.6,0.5,2.4,1.41,3.3799999999999994
"(np.float64(0.5), np.float64(0.6), np.float64(0.6))",0.5,0.6,0.6,2.4,1.44,3.46
"(np.float64(0.5), np.float64(0.6), np.float64(0.7))",0.5,0.6,0.7,2.4,1.48,3.55
"(np.float64(0.5), np.float64(0.6), np.float64(0.8))",0.5,0.6,0.8,2.4,1.51,3.62
"(np.float64(0.5), np.float64(0.6), np.float64(0.9))",0.5,0.6,0.9,2.4,1.55,3.72
"(np.float64(0.5), np.float64(0.6), np.float64(1.0))",0.5,0.6,1.0,2.4,1.59,3.8199999999999994
"(np.float64(0.5), np.float64(0.6), np.float64(1.1))",0.5,0.6,1.1,2.4,1.62,3.89
"(np.float64(0.5), np.float64(0.6), np.float64(1.2))",0.5,0.6,1.2,2.4,1.66,3.98
"(np.float64(0.5), np.float64(0.6), np.float64(1.3))",0.5,0.6,1.3,2.4,1.69,4.06
"(np.float64(0.5), np.float64(0.6), np.float64(1.4))",0.5,0.6,1.4,2.4,1.73,4.15
"(np.float64(0.5), np.float64(0.6), np.float64(1.5))",0.5,0.6,1.5,2.4,1.76,4.22
"(np.float64(0.5), np.float64(0.6), np.float64(1.6))",0.5,0.6,1.6,2.4,1.76,4.22
"(np.float64(0.5), np.float64(0.6), np.float64(1.7))",0.5,0.6,1.7,2.4,1.8,4.319999999999999
