rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(0.5), np.float64(0.5))",0.5,0.5,0.5,2.05,1.86,3.81
"(np.float64(0.5), np.float64(0.5), np.float64(0.6))",0.5,0.5,0.6,2.05,1.91,3.9199999999999995
"(np.float64(0.5), np.float64(0.5), np.float64(0.7))",0.5,0.5,0.7,2.05,1.96,4.02
"(np.float64(0.5), np.float64(0.5), np.float64(0.8))",0.5,0.5,0.8,2.04,2.0,4.08
"(np.float64(0.5), np.float64(0.5), np.float64(0.9))",0.5,0.5,0.9,2.05,2.05,4.2
"(np.float64(0.5), np.float64(0.5), np.float64(1.0))",0.5,0.5,1.0,2.05,2.1,4.3
"(np.float64(0.5), np.float64(0.5), np.float64(1.1))",0.5,0.5,1.1,2.04,2.15,4.39
"(np.float64(0.5), np.float64(0.5), np.float64(1.2))",0.5,0.5,1.2,2.05,2.19,4.49
"(np.float64(0.5), np.float64(0.5), np.float64(1.3))",0.5,0.5,1.3,2.05,2.24,4.59
"(np.float64(0.5), np.float64(0.5), np.float64(1.4))",0.5,0.5,1.4,2.05,2.29,4.69
"(np.float64(0.5), np.float64(0.5), np.float64(1.5))",0.5,0.5,1.5,2.05,2.34,4.8
"(np.float64(0.5), np.float64(0.5), np.float64(1.6))",0.5,0.5,1.6,2.05,2.39,4.9
"(np.float64(0.5), np.float64(0.5), np.float64(1.7))",0.5,0.5,1.7,2.05,2.43,4.98
"(np.float64(0.5), np.float64(0.5), np.float64(1.8))",0.5,0.5,1.8,2.04,2.48,5.06
"(np.float64(0.5), np.float64(0.5), np.float64(1.9))",0.5,0.5,1.9,2.05,2.53,5.19
"(np.float64(0.5), np.float64(0.5), np.float64(2.0))",0.5,0.5,2.0,2.05,2.58,5.29
"(np.float64(0.5), np.float64(0.6), np.float64(0.5))",0.5,0.6,0.5,2.04,1.91,3.8999999999999995
"(np.float64(0.5), np.float64(0.6), np.float64(0.6))",0.5,0.6,0.6,1.75,1.96,3.43
"(np.float64(0.5), np.float64(0.6), np.float64(0.7))",0.5,0.6,0.7,1.75,2.01,3.5199999999999996
"(np.float64(0.5), np.float64(0.6), np.float64(0.8))",0.5,0.6,0.8,1.76,2.05,3.6100000000000003
"(np.float64(0.5), np.float64(0.6), np.float64(0.9))",0.5,0.6,0.9,1.76,2.1,3.7000000000000006
"(np.float64(0.5), np.float64(0.6), np.float64(1.0))",0.5,0.6,1.0,1.76,2.15,3.7799999999999994
"(np.float64(0.5), np.float64(0.6), np.float64(1.1))",0.5,0.6,1.1,1.75,2.2,3.8499999999999996
"(np.float64(0.5), np.float64(0.6), np.float64(1.2))",0.5,0.6,1.2,1.76,2.24,3.9400000000000004
"(np.float64(0.5), np.float64(0.6), np.float64(1.3))",0.5,0.6,1.3,1.75,2.29,4.01
"(np.float64(0.5), np.float64(0.6), np.float64(1.4))",0.5,0.6,1.4,1.76,2.34,4.12
"(np.float64(0.5), np.float64(0.6), np.float64(1.5))",0.5,0.6,1.5,1.76,2.39,4.21
"(np.float64(0.5), np.float64(0.6), np.float64(1.6))",0.5,0.6,1.6,1.76,2.43,4.28
"(np.float64(0.5), np.float64(0.6), np.float64(1.7))",0.5,0.6,1.7,1.75,2.48,4.34
"(np.float64(0.5), np.float64(0.6), np.float64(1.8))",0.5,0.6,1.8,1.76,2.53,4.449999999999999
"(np.float64(0.5), np.float64(0.6), np.float64(1.9))",0.5,0.6,1.9,1.75,2.58,4.52
"(np.float64(0.5), np.float64(0.6), np.float64(2.0))",0.5,0.6,2.0,1.75,2.62,4.58
"(np.float64(0.5), np.float64(0.7), np.float64(0.5))",0.5,0.7,0.5,2.04,1.97,4.02
"(np.float64(0.5), np.float64(0.7), np.float64(0.6))",0.5,0.7,0.6,1.7,2.02,3.43
"(np.float64(0.5), np.float64(0.7), np.float64(0.7))",0.5,0.7,0.7,1.49,2.07,3.08
"(np.float64(0.5), np.float64(0.7), np.float64(0.8))",0.5,0.7,0.8,1.49,2.11,3.1399999999999997
"(np.float64(0.5), np.float64(0.7), np.float64(0.9))",0.5,0.7,0.9,1.49,2.16,3.22
"(np.float64(0.5), np.float64(0.7), np.float64(1.0))",0.5,0.7,1.0,1.49,2.21,3.29
"(np.float64(0.5), np.float64(0.7), np.float64(1.1))",0.5,0.7,1.1,1.49,2.26,3.37
"(np.float64(0.5), np.float64(0.7), np.float64(1.2))",0.5,0.7,1.2,1.49,2.3,3.43
"(np.float64(0.5), np.float64(0.7), np.float64(1.3))",0.5,0.7,1.3,1.49,2.35,3.5
"(np.float64(0.5), np.float64(0.7), np.float64(1.4))",0.5,0.7,1.4,1.49,2.4,3.58
"(np.float64(0.5), np.float64(0.7), np.float64(1.5))",0.5,0.7,1.5,1.49,2.45,3.65
"(np.float64(0.5), np.float64(0.7), np.float64(1.6))",0.5,0.7,1.6,1.49,2.49,3.7100000000000004
"(np.float64(0.5), np.float64(0.7), np.float64(1.7))",0.5,0.7,1.7,1.49,2.54,3.7799999999999994
"(np.float64(0.5), np.float64(0.7), np.float64(1.8))",0.5,0.7,1.8,1.49,2.59,3.86
"(np.float64(0.5), np.float64(0.7), np.float64(1.9))",0.5,0.7,1.9,1.49,2.64,3.9299999999999997
"(np.float64(0.5), np.float64(0.7), np.float64(2.0))",0.5,0.7,2.0,1.49,2.68,3.99
"(np.float64(0.5), np.float64(0.8), np.float64(0.5))",0.5,0.8,0.5,2.04,2.03,4.139999999999999
