rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(0.5), np.float64(0.5))",0.5,0.5,0.5,2.18,1.17,2.55
"(np.float64(0.5), np.float64(0.5), np.float64(0.6))",0.5,0.5,0.6,2.18,1.19,2.59
"(np.float64(0.5), np.float64(0.5), np.float64(0.7))",0.5,0.5,0.7,2.18,1.2,2.62
"(np.float64(0.5), np.float64(0.5), np.float64(0.8))",0.5,0.5,0.8,2.18,1.2,2.62
"(np.float64(0.5), np.float64(0.5), np.float64(0.9))",0.5,0.5,0.9,2.18,1.22,2.66
"(np.float64(0.5), np.float64(0.5), np.float64(1.0))",0.5,0.5,1.0,2.18,1.24,2.7
"(np.float64(0.5), np.float64(0.5), np.float64(1.1))",0.5,0.5,1.1,2.18,1.25,2.72
"(np.float64(0.5), np.float64(0.5), np.float64(1.2))",0.5,0.5,1.2,2.18,1.27,2.77
"(np.float64(0.5), np.float64(0.5), np.float64(1.3))",0.5,0.5,1.3,2.18,1.27,2.77
"(np.float64(0.5), np.float64(0.5), np.float64(1.4))",0.5,0.5,1.4,2.18,1.29,2.81
"(np.float64(0.5), np.float64(0.5), np.float64(1.5))",0.5,0.5,1.5,2.18,1.3,2.83
"(np.float64(0.5), np.float64(0.5), np.float64(1.6))",0.5,0.5,1.6,2.18,1.32,2.88
"(np.float64(0.5), np.float64(0.5), np.float64(1.7))",0.5,0.5,1.7,2.18,1.34,2.92
"(np.float64(0.5), np.float64(0.5), np.float64(1.8))",0.5,0.5,1.8,2.18,1.34,2.92
"(np.float64(0.5), np.float64(0.5), np.float64(1.9))",0.5,0.5,1.9,2.18,1.35,2.94
"(np.float64(0.5), np.float64(0.5), np.float64(2.0))",0.5,0.5,2.0,2.18,1.37,2.9899999999999998
"(np.float64(0.5), np.float64(0.6), np.float64(0.5))",0.5,0.6,0.5,2.18,1.18,2.57
"(np.float64(0.5), np.float64(0.6), np.float64(0.6))",0.5,0.6,0.6,2.18,1.2,2.62
"(np.float64(0.5), np.float64(0.6), np.float64(0.7))",0.5,0.6,0.7,2.18,1.21,2.64
"(np.float64(0.5), np.float64(0.6), np.float64(0.8))",0.5,0.6,0.8,2.18,1.21,2.64
"(np.float64(0.5), np.float64(0.6), np.float64(0.9))",0.5,0.6,0.9,2.18,1.23,2.68
"(np.float64(0.5), np.float64(0.6), np.float64(1.0))",0.5,0.6,1.0,2.18,1.25,2.72
"(np.float64(0.5), np.float64(0.6), np.float64(1.1))",0.5,0.6,1.1,2.18,1.26,2.75
"(np.float64(0.5), np.float64(0.6), np.float64(1.2))",0.5,0.6,1.2,2.18,1.28,2.79
"(np.float64(0.5), np.float64(0.6), np.float64(1.3))",0.5,0.6,1.3,2.18,1.28,2.79
"(np.float64(0.5), np.float64(0.6), np.float64(1.4))",0.5,0.6,1.4,2.18,1.3,2.83
"(np.float64(0.5), np.float64(0.6), np.float64(1.5))",0.5,0.6,1.5,2.18,1.31,2.86
"(np.float64(0.5), np.float64(0.6), np.float64(1.6))",0.5,0.6,1.6,2.18,1.33,2.9
"(np.float64(0.5), np.float64(0.6), np.float64(1.7))",0.5,0.6,1.7,2.18,1.35,2.94
"(np.float64(0.5), np.float64(0.6), np.float64(1.8))",0.5,0.6,1.8,2.18,1.35,2.94
"(np.float64(0.5), np.float64(0.6), np.float64(1.9))",0.5,0.6,1.9,2.18,1.36,2.96
"(np.float64(0.5), np.float64(0.6), np.float64(2.0))",0.5,0.6,2.0,2.18,1.38,3.01
"(np.float64(0.5), np.float64(0.7), np.float64(0.5))",0.5,0.7,0.5,2.18,1.19,2.59
"(np.float64(0.5), np.float64(0.7), np.float64(0.6))",0.5,0.7,0.6,2.18,1.21,2.64
"(np.float64(0.5), np.float64(0.7), np.float64(0.7))",0.5,0.7,0.7,2.18,1.22,2.66
"(np.float64(0.5), np.float64(0.7), np.float64(0.8))",0.5,0.7,0.8,2.18,1.22,2.66
"(np.float64(0.5), np.float64(0.7), np.float64(0.9))",0.5,0.7,0.9,2.18,1.24,2.7
"(np.float64(0.5), np.float64(0.7), np.float64(1.0))",0.5,0.7,1.0,2.18,1.26,2.75
"(np.float64(0.5), np.float64(0.7), np.float64(1.1))",0.5,0.7,1.1,2.18,1.27,2.77
"(np.float64(0.5), np.float64(0.7), np.float64(1.2))",0.5,0.7,1.2,2.18,1.29,2.81
"(np.float64(0.5), np.float64(0.7), np.float64(1.3))",0.5,0.7,1.3,2.18,1.29,2.81
"(np.float64(0.5), np.float64(0.7), np.float64(1.4))",0.5,0.7,1.4,2.18,1.31,2.86
"(np.float64(0.5), np.float64(0.7), np.float64(1.5))",0.5,0.7,1.5,2.18,1.32,2.88
"(np.float64(0.5), np.float64(0.7), np.float64(1.6))",0.5,0.7,1.6,2.18,1.34,2.92
"(np.float64(0.5), np.float64(0.7), np.float64(1.7))",0.5,0.7,1.7,2.18,1.36,2.96
"(np.float64(0.5), np.float64(0.7), np.float64(1.8))",0.5,0.7,1.8,2.18,1.36,2.96
"(np.float64(0.5), np.float64(0.7), np.float64(1.9))",0.5,0.7,1.9,2.18,1.37,2.9899999999999998
