rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime,num_benchmarks,num_rows
"(0.5, 0.5, 0.5)",0.5,0.5,0.5,2.1980979785628914,1.3661832940581613,3.004683843457519,4,4
"(0.5, 0.5, 0.6)",0.5,0.5,0.6,2.1980979785628914,1.3940027602103742,3.0642681106395,4,4
"(0.5, 0.5, 0.7)",0.5,0.5,0.7,2.1980979785628914,1.4192956209229588,3.118946388991249,4,4
"(0.5, 0.5, 0.8)",0.5,0.5,0.8,2.1980979785628914,1.4392530184537746,3.162569260889373,4,4
"(0.5, 0.5, 0.9)",0.5,0.5,0.9,2.1980979785628914,1.4614522540393067,3.212100551219799,4,4
"(0.5, 0.5, 1.0)",0.5,0.5,1.0,2.1980979785628914,1.4889761353959687,3.2728657144689413,4,4
"(0.5, 0.5, 1.1)",0.5,0.5,1.1,2.1980979785628914,1.5134116457832476,3.3255590589599104,4,4
"(0.5, 0.5, 1.2)",0.5,0.5,1.2,2.1980979785628914,1.5366860115547587,3.3769906131576133,4,4
"(0.5, 0.5, 1.3)",0.5,0.5,1.3,2.1980979785628914,1.5579283268670006,3.4251604490545873,4,4
"(0.5, 0.5, 1.4)",0.5,0.5,1.4,2.1980979785628914,1.5828728564569179,3.47711165054922,4,4
"(0.5, 0.5, 1.5)",0.5,0.5,1.5,2.1980979785628914,1.607014334907864,3.5324691271889974,4,4
"(0.5, 0.5, 1.6)",0.5,0.5,1.6,2.1980979785628914,1.6249170674430031,3.574455706350158,4,4
"(0.5, 0.5, 1.7)",0.5,0.5,1.7,2.1980979785628914,1.6480621183626594,3.622597707306239,4,4
"(0.5, 0.5, 1.8)",0.5,0.5,1.8,2.1980979785628914,1.6689994404979833,3.668240157101348,4,4
"(0.5, 0.5, 1.9)",0.5,0.5,1.9,2.1980979785628914,1.6929430256439333,3.7216084400909057,4,4
"(0.5, 0.5, 2.0)",0.5,0.5,2.0,2.1980979785628914,1.7176803780456151,3.776227884648274,4,4
"(0.5, 0.6, 0.5)",0.5,0.6,0.5,2.1901924405151587,1.3904233504349943,3.0465549915773535,4,4
"(0.5, 0.6, 0.6)",0.5,0.6,0.6,2.0022534959552285,1.4157057399446622,2.8334585862392743,4,4
"(0.5, 0.6, 0.7)",0.5,0.6,0.7,1.9906627599254156,1.4404107507359163,2.864390494052225,4,4
"(0.5, 0.6, 0.8)",0.5,0.6,0.8,1.9906627599254156,1.4578159448355708,2.8998027844263663,4,4
"(0.5, 0.6, 0.9)",0.5,0.6,0.9,1.9906627599254156,1.485340964841358,2.958672876752487,4,4
"(0.5, 0.6, 1.0)",0.5,0.6,1.0,1.9906627599254156,1.5127953460818635,3.010698455348331,4,4
"(0.5, 0.6, 1.1)",0.5,0.6,1.1,1.993566724989484,1.5347786041005345,3.057637367508504,4,4
"(0.5, 0.6, 1.2)",0.5,0.6,1.2,1.9906627599254156,1.562111557154395,3.1081621095454937,4,4
"(0.5, 0.6, 1.3)",0.5,0.6,1.3,1.9906627599254156,1.5791872568263126,3.1449130690523917,4,4
"(0.5, 0.6, 1.4)",0.5,0.6,1.4,1.9906627599254156,1.6064120962518156,3.1948386154510797,4,4
"(0.5, 0.6, 1.5)",0.5,0.6,1.5,1.9906627599254156,1.6281699369715372,3.2416889406426286,4,4
"(0.5, 0.6, 1.6)",0.5,0.6,1.6,1.9906627599254156,1.64601993513632,3.2780253615089627,4,4
"(0.5, 0.6, 1.7)",0.5,0.6,1.7,1.9906627599254156,1.6714709490352884,3.3275523255878534,4,4
"(0.5, 0.6, 1.8)",0.5,0.6,1.8,1.9906627599254156,1.6923187456438888,3.36582570467232,4,4
"(0.5, 0.6, 1.9)",0.5,0.6,1.9,1.9906627599254156,1.7139095301132028,3.4124674949778915,4,4
"(0.5, 0.6, 2.0)",0.5,0.6,2.0,1.9906627599254156,1.7408949999047543,3.4655781774957894,4,4
