cfg_name,Num_Layers,total_us
BASE_noS_noH,78830,48982411.692757174
BASE_S_noH,85042,57929850.92293187
BASE_noS_H,78830,149910764.02074495
BASE_S_H,85042,160310413.7915523
D3ROT_CELL2_noS_noH,78830,48982411.692757174
D3ROT_CELL2_S_noH,85042,57929850.92293187
D3ROT_CELL2_noS_H,78830,58250475.35994856
D3ROT_CELL2_S_H,85042,66942435.3226074
D3ROT_CELL3_noS_noH,78830,48982411.692757174
D3ROT_CELL3_S_noH,85042,57929850.92293187
D3ROT_CELL3_noS_H,78830,57492052.2469919
D3ROT_CELL3_S_H,85042,66546169.88229357
