cfg_name,Num_Layers,total_us
BASE_noS_noH,46567,29541045.563213147
BASE_S_noH,49297,34595804.4578104
BASE_noS_H,46567,80768206.27633022
BASE_S_H,49297,87316407.16635887
D3ROT_CELL2_noS_noH,46567,29541045.563213147
D3ROT_CELL2_S_noH,49297,34595804.4578104
D3ROT_CELL2_noS_H,46567,34593779.834499694
D3ROT_CELL2_S_H,49297,39636155.78845825
D3ROT_CELL3_noS_noH,46567,29541045.563213147
D3ROT_CELL3_S_noH,49297,34595804.4578104
D3ROT_CELL3_noS_H,46567,34564653.92275875
D3ROT_CELL3_S_H,49297,39358825.052105576
