Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L21,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L33,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L45,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L57,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L69,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L81,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L93,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L105,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L117,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L124,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L129,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L136,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L170,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L176,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L188,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L206,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L225,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L229,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L235,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L242,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L247,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L254,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L271,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L278,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L288,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L306,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L313,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L324,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L347,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L353,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L365,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L389,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L396,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L402,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L406,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L412,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L419,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L424,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L431,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L442,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L465,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L471,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L478,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L483,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L490,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L500,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L507,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L560,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L579,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L583,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L589,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L596,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L601,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L608,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L625,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L632,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L642,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L648,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L660,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L667,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L678,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L701,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L707,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L719,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L743,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L750,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L756,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L760,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L778,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L785,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L796,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L819,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L825,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L832,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L837,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L844,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L861,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L868,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L878,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L884,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L896,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L914,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L933,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L937,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L943,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L950,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L955,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1021,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1032,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1055,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1061,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1073,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1104,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1110,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1114,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1120,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1127,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1132,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1139,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1150,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1173,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L1179,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
