Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L138,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L194,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1219,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1361,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1503,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1787,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2063,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2335,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2477,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2619,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2921,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2998,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3075,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3229,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3306,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3537,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3614,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3691,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3845,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3922,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4131,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4265,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4407,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4691,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4833,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4987,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5064,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5295,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5372,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5575,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5989,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6131,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6415,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6557,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6699,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7093,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7235,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7519,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7661,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7803,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8083,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8225,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8367,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8651,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8793,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8935,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L10296,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L10370,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L10444,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L11216,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L11290,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L11364,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L3,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L9,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L21,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L33,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L45,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L57,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L69,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L81,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L93,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L100,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L105,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L112,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L134,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L139,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L142,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L143,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L149,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L156,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L161,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L168,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L195,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L198,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L199,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L205,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L212,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L217,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L224,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L234,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L235,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L241,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L248,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L259,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L266,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L273,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L278,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L295,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L296,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L299,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L306,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L324,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L331,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L338,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L343,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L350,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L364,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L365,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L371,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L378,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L389,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L396,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L403,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L408,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L415,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
