Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L442,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L626,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L810,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L994,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1178,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1362,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1714,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L1886,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2058,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2402,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L2678,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3046,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3414,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3598,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L3782,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4060,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4428,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4796,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L4980,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5164,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5338,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5510,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L5854,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6026,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6480,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6664,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L6848,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7216,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7400,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L7862,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8046,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8230,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8598,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8782,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L8962,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L9306,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L9478,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L9650,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L10098,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L10282,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
