Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L10,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L16,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L34,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L38,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L50,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L68,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L78,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L90,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L96,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L112,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L118,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L124,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L132,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L138,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L144,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L150,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L156,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L160,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L168,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L174,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L180,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L186,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L192,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L198,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L204,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L214,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L224,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L230,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L236,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L240,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L246,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L252,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L266,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L272,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L278,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L288,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L296,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L318,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L324,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L328,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L336,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L342,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L348,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L354,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L374,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L380,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L398,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L402,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L414,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L432,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L442,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L454,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L460,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L476,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L482,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L488,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L496,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L502,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L508,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L514,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L520,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L524,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L532,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L538,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L544,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L550,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L556,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L562,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L568,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L578,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L588,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L594,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L600,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L604,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L610,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L616,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L630,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L636,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L642,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L652,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L660,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L682,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L688,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L692,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L700,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L706,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L712,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L718,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L741,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L747,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L765,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L769,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L781,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L799,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L809,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L821,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L827,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L843,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L849,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L855,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L863,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L869,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L875,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L881,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L887,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L891,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L899,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L905,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L911,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
