Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L5,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L6,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L11,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L12,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L15,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L16,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L19,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L20,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L23,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L24,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L29,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L30,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L33,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L34,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L37,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L38,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L41,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L42,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L47,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L48,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L51,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L52,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L55,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L56,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L58,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L61,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L62,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L64,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L67,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L68,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L71,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L72,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L75,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L76,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L81,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L82,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L87,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L88,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L90,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L93,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L94,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L97,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L98,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L103,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L104,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L109,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L110,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L113,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L114,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L116,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L119,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L120,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L122,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L125,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L126,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L128,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L131,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L132,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L135,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L136,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L139,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L140,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L145,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L146,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L151,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L152,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L157,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L158,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L161,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L162,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L165,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L166,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L169,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L170,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L175,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L176,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L181,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L182,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L185,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L186,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L191,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L192,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
L194,237.0,60.0,0.0,0.0,0.0,0.0,297.0,0
