Label,ESM,Others,Move,Route_Conflict (Move),Route_Conflict (Rot),Rotation,Sum,RotCount
L3,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L9,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L17,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L27,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L31,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L39,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L45,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L53,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L59,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L65,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L79,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L85,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L91,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L101,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L107,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L117,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L123,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L129,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L143,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L149,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L155,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L163,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L173,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L179,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L189,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L195,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L201,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L209,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L223,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L231,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L237,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L245,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L251,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L257,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L263,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L269,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L275,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L281,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L285,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L289,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L299,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L313,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L319,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L327,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L337,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L341,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L349,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L355,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L363,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L369,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L375,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L389,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L395,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L401,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L411,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L417,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L427,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L433,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
L439,237.0,1.0,0.0,0.0,0.0,0.0,238.0,0
